unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1750204800,2025-06-18 00:00:00,ADA/USD,0.60914,0.61065,0.60914,0.61065,12737.11432762,7777.918864161154
1750201200,2025-06-17 23:00:00,ADA/USD,0.60635,0.61199,0.60635,0.60982,59910.20253635,36534.43971071696
1750197600,2025-06-17 22:00:00,ADA/USD,0.60896,0.61111,0.60802,0.60809,48142.52647520,29274.98892430437
1750194000,2025-06-17 21:00:00,ADA/USD,0.61400,0.61433,0.61076,0.61076,19784.21706429,12083.408414185758
1750190400,2025-06-17 20:00:00,ADA/USD,0.61847,0.61940,0.61506,0.61560,14730.57351254,9068.141054319625
1750186800,2025-06-17 19:00:00,ADA/USD,0.61505,0.62201,0.61478,0.61882,39497.05759100,24441.569178462618
1750183200,2025-06-17 18:00:00,ADA/USD,0.60687,0.61107,0.60681,0.61107,16682.56888768,10194.217370194618
1750179600,2025-06-17 17:00:00,ADA/USD,0.60211,0.60837,0.60000,0.60456,119288.56151665,72117.09275050592
1750176000,2025-06-17 16:00:00,ADA/USD,0.61131,0.61220,0.60173,0.60173,70512.85229473,42429.698611307875
1750172400,2025-06-17 15:00:00,ADA/USD,0.61939,0.61939,0.60705,0.61169,145808.49104382,89189.59588659424
1750168800,2025-06-17 14:00:00,ADA/USD,0.62362,0.62663,0.62138,0.62138,106236.17178083,66013.03242117215
1750165200,2025-06-17 13:00:00,ADA/USD,0.62250,0.62589,0.62250,0.62338,18483.13122440,11522.014342666473
1750161600,2025-06-17 12:00:00,ADA/USD,0.62161,0.62478,0.62161,0.62221,67282.18237938,41863.64669827403
1750158000,2025-06-17 11:00:00,ADA/USD,0.62509,0.62509,0.62120,0.62198,18800.87289157,11693.76692109871
1750154400,2025-06-17 10:00:00,ADA/USD,0.62562,0.62617,0.62116,0.62446,32278.88583745,20156.87305005403
1750150800,2025-06-17 09:00:00,ADA/USD,0.62470,0.62723,0.62348,0.62600,45742.02719066,28634.509021353162
1750147200,2025-06-17 08:00:00,ADA/USD,0.63256,0.63256,0.62433,0.62433,88721.65696722,55391.592094344465
1750143600,2025-06-17 07:00:00,ADA/USD,0.63120,0.63339,0.63028,0.63268,140614.34417898,88963.88327515707
1750140000,2025-06-17 06:00:00,ADA/USD,0.63350,0.63454,0.63116,0.63119,81354.33445135,51350.04236234761
1750136400,2025-06-17 05:00:00,ADA/USD,0.63421,0.63484,0.63276,0.63288,37530.31864106,23752.188061554054
1750132800,2025-06-17 04:00:00,ADA/USD,0.63676,0.63731,0.63415,0.63476,59958.61469987,38059.33026688948
1750129200,2025-06-17 03:00:00,ADA/USD,0.63950,0.64245,0.63681,0.63681,199378.03086799,126965.9238370447
1750125600,2025-06-17 02:00:00,ADA/USD,0.63466,0.63811,0.63025,0.63811,37084.44997868,23663.958375895494
1750122000,2025-06-17 01:00:00,ADA/USD,0.63623,0.63634,0.63371,0.63543,40355.15041122,25642.873225801526
1750118400,2025-06-17 00:00:00,ADA/USD,0.63026,0.63629,0.61940,0.63569,301168.97952155,191450.1085920541
1750114800,2025-06-16 23:00:00,ADA/USD,0.64028,0.64476,0.62872,0.62910,146055.26908344,91883.36978039211
1750111200,2025-06-16 22:00:00,ADA/USD,0.65508,0.65579,0.63540,0.64076,256713.22329935,164491.5649612915
1750107600,2025-06-16 21:00:00,ADA/USD,0.65628,0.65668,0.65219,0.65386,46780.71567040,30588.038748247745
1750104000,2025-06-16 20:00:00,ADA/USD,0.65553,0.65639,0.65221,0.65612,71813.88177944,47118.52411312617
1750100400,2025-06-16 19:00:00,ADA/USD,0.65640,0.65765,0.65378,0.65528,90480.46664119,59290.04018063898
1750096800,2025-06-16 18:00:00,ADA/USD,0.65131,0.65565,0.65131,0.65565,71293.16604355,46743.36431645355
1750093200,2025-06-16 17:00:00,ADA/USD,0.65679,0.65679,0.65129,0.65129,66591.29470328,43370.24432729923
1750089600,2025-06-16 16:00:00,ADA/USD,0.64997,0.65586,0.64890,0.65520,206237.86529040,135127.04933827007
1750086000,2025-06-16 15:00:00,ADA/USD,0.65114,0.65387,0.64913,0.64913,180552.36047298,117201.95375382551
1750082400,2025-06-16 14:00:00,ADA/USD,0.64907,0.65398,0.64750,0.65140,195454.74403888,127319.22026692642
1750078800,2025-06-16 13:00:00,ADA/USD,0.64557,0.64779,0.64340,0.64778,160066.77577712,103688.0560129028
1750075200,2025-06-16 12:00:00,ADA/USD,0.64685,0.64886,0.64370,0.64433,247715.59981096,159610.59242619586
