unix,date,symbol,open,high,low,close,Volume EURT,Volume EUR
1719532800,2024-06-28 00:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719529200,2024-06-27 23:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719525600,2024-06-27 22:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719522000,2024-06-27 21:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719518400,2024-06-27 20:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719514800,2024-06-27 19:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719511200,2024-06-27 18:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719507600,2024-06-27 17:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719504000,2024-06-27 16:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719500400,2024-06-27 15:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719496800,2024-06-27 14:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719493200,2024-06-27 13:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719489600,2024-06-27 12:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719486000,2024-06-27 11:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719482400,2024-06-27 10:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719478800,2024-06-27 09:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719475200,2024-06-27 08:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719471600,2024-06-27 07:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719468000,2024-06-27 06:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,120.75226,116.1189957838
1719464400,2024-06-27 05:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719460800,2024-06-27 04:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719457200,2024-06-27 03:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719453600,2024-06-27 02:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719450000,2024-06-27 01:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719446400,2024-06-27 00:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719442800,2024-06-26 23:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,1207.64516,1161.3078152108
1719439200,2024-06-26 22:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719435600,2024-06-26 21:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,1972.46565,1896.7821430095
1719432000,2024-06-26 20:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719428400,2024-06-26 19:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719424800,2024-06-26 18:00:00,EURT/EUR,0.96163,0.96163,0.96163,0.96163,0.00000,0.0
1719421200,2024-06-26 17:00:00,EURT/EUR,0.96328,0.96328,0.96163,0.96163,1560.59189,1500.7119791807
1719417600,2024-06-26 16:00:00,EURT/EUR,0.96320,0.96320,0.96320,0.96320,26.84107,25.853318623999996
1719414000,2024-06-26 15:00:00,EURT/EUR,0.96320,0.96320,0.96320,0.96320,71.15947,68.540801504
1719410400,2024-06-26 14:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719406800,2024-06-26 13:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719403200,2024-06-26 12:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719399600,2024-06-26 11:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719396000,2024-06-26 10:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719392400,2024-06-26 09:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719388800,2024-06-26 08:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719385200,2024-06-26 07:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719381600,2024-06-26 06:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719378000,2024-06-26 05:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719374400,2024-06-26 04:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719370800,2024-06-26 03:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719367200,2024-06-26 02:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719363600,2024-06-26 01:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719360000,2024-06-26 00:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719356400,2024-06-25 23:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719352800,2024-06-25 22:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719349200,2024-06-25 21:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719345600,2024-06-25 20:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719342000,2024-06-25 19:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719338400,2024-06-25 18:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719334800,2024-06-25 17:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719331200,2024-06-25 16:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719327600,2024-06-25 15:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719324000,2024-06-25 14:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719320400,2024-06-25 13:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719316800,2024-06-25 12:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719313200,2024-06-25 11:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719309600,2024-06-25 10:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719306000,2024-06-25 09:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719302400,2024-06-25 08:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719298800,2024-06-25 07:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719295200,2024-06-25 06:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719291600,2024-06-25 05:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719288000,2024-06-25 04:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719284400,2024-06-25 03:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719280800,2024-06-25 02:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719277200,2024-06-25 01:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719273600,2024-06-25 00:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719270000,2024-06-24 23:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719266400,2024-06-24 22:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719262800,2024-06-24 21:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719259200,2024-06-24 20:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719255600,2024-06-24 19:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719252000,2024-06-24 18:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719248400,2024-06-24 17:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719244800,2024-06-24 16:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719241200,2024-06-24 15:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719237600,2024-06-24 14:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719234000,2024-06-24 13:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719230400,2024-06-24 12:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719226800,2024-06-24 11:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719223200,2024-06-24 10:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719219600,2024-06-24 09:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719216000,2024-06-24 08:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719212400,2024-06-24 07:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719208800,2024-06-24 06:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719205200,2024-06-24 05:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719201600,2024-06-24 04:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719198000,2024-06-24 03:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719194400,2024-06-24 02:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719190800,2024-06-24 01:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719187200,2024-06-24 00:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719183600,2024-06-23 23:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719180000,2024-06-23 22:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719176400,2024-06-23 21:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719172800,2024-06-23 20:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719169200,2024-06-23 19:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719165600,2024-06-23 18:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719162000,2024-06-23 17:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719158400,2024-06-23 16:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719154800,2024-06-23 15:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719151200,2024-06-23 14:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719147600,2024-06-23 13:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719144000,2024-06-23 12:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719140400,2024-06-23 11:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719136800,2024-06-23 10:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719133200,2024-06-23 09:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719129600,2024-06-23 08:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719126000,2024-06-23 07:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719122400,2024-06-23 06:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719118800,2024-06-23 05:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719115200,2024-06-23 04:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719111600,2024-06-23 03:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719108000,2024-06-23 02:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719104400,2024-06-23 01:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719100800,2024-06-23 00:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719097200,2024-06-22 23:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719093600,2024-06-22 22:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719090000,2024-06-22 21:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719086400,2024-06-22 20:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719082800,2024-06-22 19:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719079200,2024-06-22 18:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719075600,2024-06-22 17:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719072000,2024-06-22 16:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719068400,2024-06-22 15:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719064800,2024-06-22 14:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719061200,2024-06-22 13:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719057600,2024-06-22 12:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719054000,2024-06-22 11:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719050400,2024-06-22 10:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719046800,2024-06-22 09:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719043200,2024-06-22 08:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719039600,2024-06-22 07:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719036000,2024-06-22 06:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719032400,2024-06-22 05:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719028800,2024-06-22 04:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719025200,2024-06-22 03:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719021600,2024-06-22 02:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719018000,2024-06-22 01:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719014400,2024-06-22 00:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719010800,2024-06-21 23:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719007200,2024-06-21 22:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719003600,2024-06-21 21:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1719000000,2024-06-21 20:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1718996400,2024-06-21 19:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1718992800,2024-06-21 18:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1718989200,2024-06-21 17:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1718985600,2024-06-21 16:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1718982000,2024-06-21 15:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
1718978400,2024-06-21 14:00:00,EURT/EUR,0.99641,0.99641,0.99641,0.99641,0.00000,0.0
