unix,date,symbol,open,high,low,close,Volume LINK,Volume USD
1750204800,2025-06-18 00:00:00,LINK/USD,13.01,13.02,13.00,13.01,508.40908437,6614.4021876537
1750201200,2025-06-17 23:00:00,LINK/USD,12.87,13.04,12.87,13.00,2451.58819867,31870.64658271
1750197600,2025-06-17 22:00:00,LINK/USD,12.99,13.00,12.88,12.88,1389.13527888,17892.0623919744
1750194000,2025-06-17 21:00:00,LINK/USD,13.02,13.06,12.96,12.98,2455.59778576,31873.6592591648
1750190400,2025-06-17 20:00:00,LINK/USD,13.17,13.19,13.00,13.00,4119.61308915,53554.97015895
1750186800,2025-06-17 19:00:00,LINK/USD,13.07,13.25,13.06,13.17,3629.12623665,47795.5925366805
1750183200,2025-06-17 18:00:00,LINK/USD,12.89,13.03,12.87,13.03,1740.58354689,22679.8036159767
1750179600,2025-06-17 17:00:00,LINK/USD,12.83,13.02,12.81,12.90,5578.35269361,71960.749747569
1750176000,2025-06-17 16:00:00,LINK/USD,13.05,13.05,12.83,12.83,8174.76509450,104882.236162435
1750172400,2025-06-17 15:00:00,LINK/USD,13.13,13.15,12.94,13.05,11440.33627631,149296.3884058455
1750168800,2025-06-17 14:00:00,LINK/USD,13.23,13.37,13.15,13.15,1725.63849906,22692.146262639
1750165200,2025-06-17 13:00:00,LINK/USD,13.20,13.34,13.20,13.24,1102.34558509,14595.0555465916
1750161600,2025-06-17 12:00:00,LINK/USD,13.25,13.31,13.19,13.20,3656.20315524,48261.881649168
1750158000,2025-06-17 11:00:00,LINK/USD,13.28,13.28,13.21,13.21,631.22272883,8338.452247844301
1750154400,2025-06-17 10:00:00,LINK/USD,13.36,13.36,13.24,13.31,1048.07265808,13949.847079044803
1750150800,2025-06-17 09:00:00,LINK/USD,13.39,13.43,13.34,13.38,1448.23423380,19377.374048244
1750147200,2025-06-17 08:00:00,LINK/USD,13.48,13.49,13.39,13.40,851.67890000,11412.49726
1750143600,2025-06-17 07:00:00,LINK/USD,13.54,13.56,13.48,13.50,2014.90612732,27201.23271882
1750140000,2025-06-17 06:00:00,LINK/USD,13.56,13.63,13.51,13.51,756.39511365,10218.8979854115
1750136400,2025-06-17 05:00:00,LINK/USD,13.60,13.63,13.54,13.55,1007.85634619,13656.4534908745
1750132800,2025-06-17 04:00:00,LINK/USD,13.68,13.74,13.57,13.61,1837.82716332,25012.8276927852
1750129200,2025-06-17 03:00:00,LINK/USD,13.68,13.75,13.66,13.67,2115.79265709,28922.885622420297
1750125600,2025-06-17 02:00:00,LINK/USD,13.62,13.62,13.48,13.56,4156.92963988,56367.965916772795
1750122000,2025-06-17 01:00:00,LINK/USD,13.69,13.73,13.62,13.62,1511.64609014,20588.619747706798
1750118400,2025-06-17 00:00:00,LINK/USD,13.58,13.67,13.35,13.67,8948.73260928,122329.17476885759
1750114800,2025-06-16 23:00:00,LINK/USD,13.77,13.91,13.54,13.54,9570.55965077,129585.37767142578
1750111200,2025-06-16 22:00:00,LINK/USD,14.07,14.13,13.67,13.81,10178.71608627,140568.0691513887
1750107600,2025-06-16 21:00:00,LINK/USD,14.15,14.15,14.04,14.05,4158.25349081,58423.4615458805
1750104000,2025-06-16 20:00:00,LINK/USD,14.04,14.15,14.01,14.14,5683.66732323,80367.0559504722
1750100400,2025-06-16 19:00:00,LINK/USD,14.05,14.10,14.04,14.04,4775.22697869,67044.18678080759
1750096800,2025-06-16 18:00:00,LINK/USD,13.90,14.00,13.90,14.00,1375.45049004,19256.30686056
1750093200,2025-06-16 17:00:00,LINK/USD,13.85,13.92,13.84,13.87,951.78534985,13201.262802419498
1750089600,2025-06-16 16:00:00,LINK/USD,13.80,13.90,13.80,13.86,1750.15246900,24257.11322034
1750086000,2025-06-16 15:00:00,LINK/USD,13.80,13.85,13.79,13.79,1341.87929508,18504.5154791532
1750082400,2025-06-16 14:00:00,LINK/USD,13.82,13.89,13.77,13.83,1772.03808752,24507.286750401603
1750078800,2025-06-16 13:00:00,LINK/USD,13.68,13.76,13.66,13.75,2835.03207271,38981.690999762504
1750075200,2025-06-16 12:00:00,LINK/USD,13.69,13.71,13.64,13.68,4219.07300206,57716.918668180806
1750071600,2025-06-16 11:00:00,LINK/USD,13.64,13.69,13.57,13.68,913.85324389,12501.5123764152
1750068000,2025-06-16 10:00:00,LINK/USD,13.72,13.74,13.69,13.69,1179.07903143,16141.5919402767
1750064400,2025-06-16 09:00:00,LINK/USD,13.65,13.69,13.65,13.69,1942.91265664,26598.4742694016
1750060800,2025-06-16 08:00:00,LINK/USD,13.70,13.70,13.62,13.65,1880.55220059,25669.5375380535
1750057200,2025-06-16 07:00:00,LINK/USD,13.66,13.73,13.66,13.68,2867.07148405,39221.537901804
1750053600,2025-06-16 06:00:00,LINK/USD,13.62,13.70,13.62,13.68,39191.00339608,536132.9264583744
1750050000,2025-06-16 05:00:00,LINK/USD,13.48,13.63,13.48,13.61,2086.08310603,28391.591073068303
1750046400,2025-06-16 04:00:00,LINK/USD,13.40,13.46,13.38,13.44,921.21752936,12381.1635945984
1750042800,2025-06-16 03:00:00,LINK/USD,13.41,13.43,13.38,13.38,2587.25606662,34617.4861713756
1750039200,2025-06-16 02:00:00,LINK/USD,13.44,13.47,13.42,13.44,3586.59908884,48203.8917540096
1750035600,2025-06-16 01:00:00,LINK/USD,13.27,13.42,13.18,13.42,7106.16287355,95364.705763041
1750032000,2025-06-16 00:00:00,LINK/USD,13.30,13.34,13.23,13.25,4264.19069992,56500.52677394
1750028400,2025-06-15 23:00:00,LINK/USD,13.27,13.30,13.24,13.30,6653.35920272,88489.677396176
1750024800,2025-06-15 22:00:00,LINK/USD,13.16,13.29,13.16,13.27,2916.17695288,38697.6681647176
1750021200,2025-06-15 21:00:00,LINK/USD,13.05,13.15,13.03,13.15,6767.78057345,88996.3145408675
1750017600,2025-06-15 20:00:00,LINK/USD,13.14,13.15,13.01,13.01,4283.62523180,55729.964265717994
1750014000,2025-06-15 19:00:00,LINK/USD,13.20,13.21,13.10,13.14,1448.94589272,19039.149030340803
1750010400,2025-06-15 18:00:00,LINK/USD,13.17,13.20,13.17,13.20,38.56381900,509.0424108
1750006800,2025-06-15 17:00:00,LINK/USD,13.22,13.24,13.18,13.22,3291.02013130,43507.286135786
1750003200,2025-06-15 16:00:00,LINK/USD,13.18,13.24,13.13,13.23,6367.78891547,84245.8473516681
1749999600,2025-06-15 15:00:00,LINK/USD,13.28,13.31,13.16,13.17,15253.90907008,200893.9824529536
1749996000,2025-06-15 14:00:00,LINK/USD,13.20,13.31,13.15,13.28,3218.06765878,42735.938508598396
1749992400,2025-06-15 13:00:00,LINK/USD,13.15,13.21,13.15,13.20,831.05879613,10969.976108916
1749988800,2025-06-15 12:00:00,LINK/USD,13.08,13.15,13.07,13.15,1261.22548026,16585.115065419002
1749985200,2025-06-15 11:00:00,LINK/USD,13.12,13.13,13.05,13.08,1704.80061974,22298.792106199202
1749981600,2025-06-15 10:00:00,LINK/USD,13.08,13.13,13.07,13.11,2383.41836955,31246.6148248005
1749978000,2025-06-15 09:00:00,LINK/USD,13.11,13.11,13.03,13.03,2615.05348872,34074.1469580216
