unix,date,symbol,open,high,low,close,Volume MATIC,Volume EUR
1750204800,2025-06-18 00:00:00,MATIC/EUR,0.17152,0.17152,0.17152,0.17152,0.00000000,0.0
1750201200,2025-06-17 23:00:00,MATIC/EUR,0.17152,0.17152,0.17152,0.17152,0.00000000,0.0
1750197600,2025-06-17 22:00:00,MATIC/EUR,0.17152,0.17152,0.17152,0.17152,0.00000000,0.0
1750194000,2025-06-17 21:00:00,MATIC/EUR,0.17013,0.17170,0.17013,0.17152,2619.24669804,449.2531936478208
1750190400,2025-06-17 20:00:00,MATIC/EUR,0.17122,0.17122,0.17122,0.17122,0.00000000,0.0
1750186800,2025-06-17 19:00:00,MATIC/EUR,0.17110,0.17122,0.17110,0.17122,26916.19715087,4608.591276171962
1750183200,2025-06-17 18:00:00,MATIC/EUR,0.16903,0.16926,0.16903,0.16926,2159.79067453,365.5661695709478
1750179600,2025-06-17 17:00:00,MATIC/EUR,0.16968,0.17024,0.16821,0.16965,16687.57244964,2831.046666081426
1750176000,2025-06-17 16:00:00,MATIC/EUR,0.17053,0.17053,0.16817,0.16817,7838.53837652,1318.2069987793684
1750172400,2025-06-17 15:00:00,MATIC/EUR,0.17000,0.17037,0.17000,0.17037,17973.44042568,3062.1350453231016
1750168800,2025-06-17 14:00:00,MATIC/EUR,0.17517,0.17517,0.17517,0.17517,285.43700405,49.999999999438494
1750165200,2025-06-17 13:00:00,MATIC/EUR,0.17302,0.17302,0.17302,0.17302,0.00000000,0.0
1750161600,2025-06-17 12:00:00,MATIC/EUR,0.17302,0.17302,0.17302,0.17302,0.00000000,0.0
1750158000,2025-06-17 11:00:00,MATIC/EUR,0.17192,0.17371,0.17192,0.17302,686.17597010,118.722166346702
1750154400,2025-06-17 10:00:00,MATIC/EUR,0.17108,0.17148,0.17108,0.17148,2673.56184445,458.462385086286
1750150800,2025-06-17 09:00:00,MATIC/EUR,0.17160,0.17160,0.17160,0.17160,1999.65928716,343.141533676656
1750147200,2025-06-17 08:00:00,MATIC/EUR,0.17219,0.17219,0.17160,0.17160,23054.29835146,3956.117597110536
1750143600,2025-06-17 07:00:00,MATIC/EUR,0.17270,0.17337,0.17270,0.17337,16281.42461064,2822.710584746657
1750140000,2025-06-17 06:00:00,MATIC/EUR,0.17354,0.17377,0.17343,0.17362,2500.78349756,434.18603084636715
1750136400,2025-06-17 05:00:00,MATIC/EUR,0.17310,0.17340,0.17310,0.17340,1149.90850610,199.39413495774002
1750132800,2025-06-17 04:00:00,MATIC/EUR,0.17467,0.17467,0.17371,0.17371,7914.76648770,1374.874086578367
1750129200,2025-06-17 03:00:00,MATIC/EUR,0.17491,0.17541,0.17456,0.17456,8910.86293024,1555.4802331026945
1750125600,2025-06-17 02:00:00,MATIC/EUR,0.17332,0.17494,0.17332,0.17493,6606.31624386,1155.6429005384298
1750122000,2025-06-17 01:00:00,MATIC/EUR,0.17446,0.17455,0.17418,0.17431,2784.98474756,485.4506913471836
1750118400,2025-06-17 00:00:00,MATIC/EUR,0.17247,0.17325,0.17247,0.17325,1674.11087970,290.039709908025
1750114800,2025-06-16 23:00:00,MATIC/EUR,0.17551,0.17551,0.17398,0.17398,26082.12443908,4537.768009911138
1750111200,2025-06-16 22:00:00,MATIC/EUR,0.17899,0.17899,0.17544,0.17546,24884.21375123,4366.1841447908155
1750107600,2025-06-16 21:00:00,MATIC/EUR,0.17905,0.17905,0.17850,0.17850,7713.03771918,1376.7772328736298
1750104000,2025-06-16 20:00:00,MATIC/EUR,0.17904,0.17941,0.17903,0.17934,13564.07946055,2432.582010455037
1750100400,2025-06-16 19:00:00,MATIC/EUR,0.17958,0.17958,0.17903,0.17903,1560.69255701,279.4107884815003
1750096800,2025-06-16 18:00:00,MATIC/EUR,0.17783,0.17912,0.17783,0.17912,12073.11115115,2162.535669393988
1750093200,2025-06-16 17:00:00,MATIC/EUR,0.17791,0.17791,0.17791,0.17791,0.00000000,0.0
1750089600,2025-06-16 16:00:00,MATIC/EUR,0.17801,0.17801,0.17791,0.17791,2240.02923469,398.52360114369793
