unix,date,symbol,open,high,low,close,Volume PYUSD,Volume USD
1750204800,2025-06-18 00:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750201200,2025-06-17 23:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750197600,2025-06-17 22:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750194000,2025-06-17 21:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750190400,2025-06-17 20:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750186800,2025-06-17 19:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750183200,2025-06-17 18:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750179600,2025-06-17 17:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,38.80,38.8
1750176000,2025-06-17 16:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750172400,2025-06-17 15:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750168800,2025-06-17 14:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750165200,2025-06-17 13:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,12.66,12.66
1750161600,2025-06-17 12:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750158000,2025-06-17 11:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750154400,2025-06-17 10:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750150800,2025-06-17 09:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750147200,2025-06-17 08:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750143600,2025-06-17 07:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750140000,2025-06-17 06:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750136400,2025-06-17 05:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,11.79,11.79
1750132800,2025-06-17 04:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,12.13,12.125148000000001
1750129200,2025-06-17 03:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750125600,2025-06-17 02:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,26.54,26.529384
1750122000,2025-06-17 01:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750118400,2025-06-17 00:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750114800,2025-06-16 23:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750111200,2025-06-16 22:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750107600,2025-06-16 21:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750104000,2025-06-16 20:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1750100400,2025-06-16 19:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,16.72,16.72
1750096800,2025-06-16 18:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750093200,2025-06-16 17:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750089600,2025-06-16 16:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750086000,2025-06-16 15:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750082400,2025-06-16 14:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750078800,2025-06-16 13:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750075200,2025-06-16 12:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750071600,2025-06-16 11:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750068000,2025-06-16 10:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750064400,2025-06-16 09:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750060800,2025-06-16 08:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750057200,2025-06-16 07:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750053600,2025-06-16 06:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750050000,2025-06-16 05:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750046400,2025-06-16 04:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750042800,2025-06-16 03:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750039200,2025-06-16 02:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750035600,2025-06-16 01:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750032000,2025-06-16 00:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750028400,2025-06-15 23:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750024800,2025-06-15 22:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750021200,2025-06-15 21:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750017600,2025-06-15 20:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750014000,2025-06-15 19:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750010400,2025-06-15 18:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750006800,2025-06-15 17:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1750003200,2025-06-15 16:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1749999600,2025-06-15 15:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1749996000,2025-06-15 14:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1749992400,2025-06-15 13:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1749988800,2025-06-15 12:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1749985200,2025-06-15 11:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1749981600,2025-06-15 10:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1749978000,2025-06-15 09:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1749974400,2025-06-15 08:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,370.01,369.86199600000003
1749970800,2025-06-15 07:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1749967200,2025-06-15 06:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1749963600,2025-06-15 05:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1749960000,2025-06-15 04:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1749956400,2025-06-15 03:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1749952800,2025-06-15 02:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,0.00,0.0
1749949200,2025-06-15 01:00:00,PYUSD/USD,0.9996,0.9996,0.9996,0.9996,5.83,5.827668
1749945600,2025-06-15 00:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1749942000,2025-06-14 23:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1749938400,2025-06-14 22:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1749934800,2025-06-14 21:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1749931200,2025-06-14 20:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1749927600,2025-06-14 19:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
1749924000,2025-06-14 18:00:00,PYUSD/USD,1.0000,1.0000,1.0000,1.0000,0.00,0.0
