unix,date,symbol,open,high,low,close,Volume SHIB,Volume USD
1750204800,2025-06-18 00:00:00,SHIB/USD,0.00001164,0.00001166,0.00001164,0.00001166,69732505,813.0810083
1750201200,2025-06-17 23:00:00,SHIB/USD,0.00001155,0.00001166,0.00001155,0.00001164,9617520,111.9479328
1750197600,2025-06-17 22:00:00,SHIB/USD,0.00001161,0.00001164,0.00001152,0.00001152,519565436,5985.39382272
1750194000,2025-06-17 21:00:00,SHIB/USD,0.00001166,0.00001167,0.00001157,0.00001160,631851486,7329.4772376
1750190400,2025-06-17 20:00:00,SHIB/USD,0.00001171,0.00001172,0.00001171,0.00001172,6271883,73.50646876
1750186800,2025-06-17 19:00:00,SHIB/USD,0.00001165,0.00001175,0.00001165,0.00001173,24450134,286.80007181999997
1750183200,2025-06-17 18:00:00,SHIB/USD,0.00001146,0.00001159,0.00001144,0.00001159,256182196,2969.15165164
1750179600,2025-06-17 17:00:00,SHIB/USD,0.00001136,0.00001150,0.00001135,0.00001146,1112479356,12749.01341976
1750176000,2025-06-17 16:00:00,SHIB/USD,0.00001154,0.00001155,0.00001135,0.00001135,924306268,10490.8761418
1750172400,2025-06-17 15:00:00,SHIB/USD,0.00001163,0.00001163,0.00001145,0.00001156,1329821343,15372.73472508
1750168800,2025-06-17 14:00:00,SHIB/USD,0.00001174,0.00001177,0.00001168,0.00001168,148490465,1734.3686312
1750165200,2025-06-17 13:00:00,SHIB/USD,0.00001173,0.00001181,0.00001171,0.00001174,649489285,7625.0042059
1750161600,2025-06-17 12:00:00,SHIB/USD,0.00001171,0.00001180,0.00001171,0.00001174,1372259381,16110.32513294
1750158000,2025-06-17 11:00:00,SHIB/USD,0.00001171,0.00001171,0.00001168,0.00001171,125734874,1472.35537454
1750154400,2025-06-17 10:00:00,SHIB/USD,0.00001181,0.00001181,0.00001170,0.00001174,544309088,6390.18869312
1750150800,2025-06-17 09:00:00,SHIB/USD,0.00001182,0.00001185,0.00001177,0.00001177,3909693,46.01708661
1750147200,2025-06-17 08:00:00,SHIB/USD,0.00001192,0.00001192,0.00001184,0.00001184,301235598,3566.62948032
1750143600,2025-06-17 07:00:00,SHIB/USD,0.00001187,0.00001187,0.00001187,0.00001187,1509187,17.91404969
1750140000,2025-06-17 06:00:00,SHIB/USD,0.00001194,0.00001194,0.00001188,0.00001188,1355251,16.10038188
1750136400,2025-06-17 05:00:00,SHIB/USD,0.00001196,0.00001197,0.00001191,0.00001191,89573887,1066.8249941699999
1750132800,2025-06-17 04:00:00,SHIB/USD,0.00001201,0.00001201,0.00001194,0.00001194,12155228,145.13342232
1750129200,2025-06-17 03:00:00,SHIB/USD,0.00001204,0.00001204,0.00001201,0.00001202,1046997,12.58490394
1750125600,2025-06-17 02:00:00,SHIB/USD,0.00001192,0.00001204,0.00001192,0.00001204,184587713,2222.43606452
1750122000,2025-06-17 01:00:00,SHIB/USD,0.00001194,0.00001201,0.00001193,0.00001197,73054280,874.4597316
1750118400,2025-06-17 00:00:00,SHIB/USD,0.00001180,0.00001187,0.00001168,0.00001182,2517717473,29759.42053086
1750114800,2025-06-16 23:00:00,SHIB/USD,0.00001203,0.00001207,0.00001183,0.00001186,401342563,4759.92279718
1750111200,2025-06-16 22:00:00,SHIB/USD,0.00001227,0.00001228,0.00001194,0.00001200,400515166,4806.181992
1750107600,2025-06-16 21:00:00,SHIB/USD,0.00001230,0.00001231,0.00001225,0.00001227,191114055,2344.9694548499997
1750104000,2025-06-16 20:00:00,SHIB/USD,0.00001227,0.00001232,0.00001223,0.00001230,5656072296,69569.6892408
1750100400,2025-06-16 19:00:00,SHIB/USD,0.00001227,0.00001230,0.00001226,0.00001227,10925307976,134053.52886552
1750096800,2025-06-16 18:00:00,SHIB/USD,0.00001220,0.00001226,0.00001220,0.00001226,67035565,821.8560269
1750093200,2025-06-16 17:00:00,SHIB/USD,0.00001221,0.00001227,0.00001218,0.00001223,12017925,146.97922275
1750089600,2025-06-16 16:00:00,SHIB/USD,0.00001216,0.00001224,0.00001216,0.00001221,145519711,1776.79567131
1750086000,2025-06-16 15:00:00,SHIB/USD,0.00001222,0.00001224,0.00001218,0.00001220,2553324729,31150.5616938
1750082400,2025-06-16 14:00:00,SHIB/USD,0.00001217,0.00001226,0.00001217,0.00001223,3601331184,44044.28038032
1750078800,2025-06-16 13:00:00,SHIB/USD,0.00001215,0.00001218,0.00001210,0.00001218,4693646801,57168.61803618
1750075200,2025-06-16 12:00:00,SHIB/USD,0.00001216,0.00001217,0.00001213,0.00001216,133415282,1622.32982912
1750071600,2025-06-16 11:00:00,SHIB/USD,0.00001215,0.00001219,0.00001211,0.00001217,23159518,281.85133406
1750068000,2025-06-16 10:00:00,SHIB/USD,0.00001219,0.00001223,0.00001217,0.00001217,110318632,1342.57775144
1750064400,2025-06-16 09:00:00,SHIB/USD,0.00001223,0.00001223,0.00001216,0.00001219,177196450,2160.0247255
1750060800,2025-06-16 08:00:00,SHIB/USD,0.00001222,0.00001222,0.00001219,0.00001222,285462875,3488.3563325
1750057200,2025-06-16 07:00:00,SHIB/USD,0.00001223,0.00001223,0.00001221,0.00001222,35678518,435.99148996
1750053600,2025-06-16 06:00:00,SHIB/USD,0.00001216,0.00001220,0.00001216,0.00001218,2101330559,25594.206208620002
1750050000,2025-06-16 05:00:00,SHIB/USD,0.00001215,0.00001220,0.00001214,0.00001218,13796102352,168036.52664736
1750046400,2025-06-16 04:00:00,SHIB/USD,0.00001210,0.00001217,0.00001210,0.00001213,285337421,3461.1429167300003
1750042800,2025-06-16 03:00:00,SHIB/USD,0.00001211,0.00001213,0.00001208,0.00001209,121870236,1473.41115324
1750039200,2025-06-16 02:00:00,SHIB/USD,0.00001209,0.00001213,0.00001209,0.00001211,145483994,1761.8111673399999
1750035600,2025-06-16 01:00:00,SHIB/USD,0.00001198,0.00001208,0.00001192,0.00001208,724018850,8746.147708
1750032000,2025-06-16 00:00:00,SHIB/USD,0.00001202,0.00001203,0.00001196,0.00001198,525335232,6293.51607936
1750028400,2025-06-15 23:00:00,SHIB/USD,0.00001199,0.00001205,0.00001199,0.00001202,156685908,1883.36461416
1750024800,2025-06-15 22:00:00,SHIB/USD,0.00001191,0.00001203,0.00001191,0.00001202,503099274,6047.25327348
1750021200,2025-06-15 21:00:00,SHIB/USD,0.00001184,0.00001192,0.00001184,0.00001192,325552856,3880.5900435199997
1750017600,2025-06-15 20:00:00,SHIB/USD,0.00001193,0.00001193,0.00001183,0.00001185,755360736,8951.0247216
1750014000,2025-06-15 19:00:00,SHIB/USD,0.00001200,0.00001200,0.00001192,0.00001193,287222617,3426.56582081
1750010400,2025-06-15 18:00:00,SHIB/USD,0.00001198,0.00001198,0.00001194,0.00001198,359425487,4305.91733426
1750006800,2025-06-15 17:00:00,SHIB/USD,0.00001201,0.00001201,0.00001196,0.00001199,225095385,2698.89366615
1750003200,2025-06-15 16:00:00,SHIB/USD,0.00001205,0.00001205,0.00001201,0.00001201,186058256,2234.55965456
1749999600,2025-06-15 15:00:00,SHIB/USD,0.00001212,0.00001212,0.00001202,0.00001202,292538969,3516.31840738
1749996000,2025-06-15 14:00:00,SHIB/USD,0.00001199,0.00001210,0.00001199,0.00001207,269437058,3252.10529006
1749992400,2025-06-15 13:00:00,SHIB/USD,0.00001197,0.00001202,0.00001196,0.00001201,78926426,947.90637626
1749988800,2025-06-15 12:00:00,SHIB/USD,0.00001192,0.00001197,0.00001191,0.00001197,375356388,4493.01596436
1749985200,2025-06-15 11:00:00,SHIB/USD,0.00001194,0.00001195,0.00001191,0.00001195,195802785,2339.8432807500003
1749981600,2025-06-15 10:00:00,SHIB/USD,0.00001191,0.00001197,0.00001191,0.00001196,48534699,580.47500004
