unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1750204800,2025-06-18 00:00:00,SOL/USD,147.600,148.079,147.577,147.748,92.50087,13666.81854076
1750201200,2025-06-17 23:00:00,SOL/USD,146.491,148.346,146.420,147.582,1072.73291,158316.06832361998
1750197600,2025-06-17 22:00:00,SOL/USD,147.833,147.961,146.398,146.485,739.07520,108263.430672
1750194000,2025-06-17 21:00:00,SOL/USD,148.722,149.008,146.864,147.855,2748.53944,406385.29890119995
1750190400,2025-06-17 20:00:00,SOL/USD,148.919,149.175,148.318,148.701,1382.77222,205619.61188622
1750186800,2025-06-17 19:00:00,SOL/USD,148.249,150.362,147.948,148.899,3682.39149,548304.41046951
1750183200,2025-06-17 18:00:00,SOL/USD,146.253,148.216,145.717,148.212,2149.49129,318580.40307347995
1750179600,2025-06-17 17:00:00,SOL/USD,146.040,147.339,145.653,146.343,2861.02176,418690.50742368
1750176000,2025-06-17 16:00:00,SOL/USD,147.533,147.969,145.993,146.029,3266.75462,477040.91040398
1750172400,2025-06-17 15:00:00,SOL/USD,148.740,149.028,146.723,147.628,10035.35336,1481499.1458300797
1750168800,2025-06-17 14:00:00,SOL/USD,149.796,150.801,148.741,148.963,1328.20390,197853.23755569998
1750165200,2025-06-17 13:00:00,SOL/USD,149.663,150.556,149.202,149.614,2297.07994,343675.31814316
1750161600,2025-06-17 12:00:00,SOL/USD,150.563,151.437,149.656,149.700,1069.94070,160170.12279
1750158000,2025-06-17 11:00:00,SOL/USD,151.140,151.231,150.210,150.570,1316.52512,198229.18731839999
1750154400,2025-06-17 10:00:00,SOL/USD,151.450,151.551,150.372,151.222,1601.27714,242148.33166508
1750150800,2025-06-17 09:00:00,SOL/USD,151.690,152.042,151.160,151.536,1645.27512,249318.41058432
1750147200,2025-06-17 08:00:00,SOL/USD,152.912,152.934,151.489,151.620,2572.82042,390091.03208040004
1750143600,2025-06-17 07:00:00,SOL/USD,153.124,153.373,152.682,152.719,1600.22452,244384.68846988
1750140000,2025-06-17 06:00:00,SOL/USD,153.656,154.279,152.790,153.082,1797.88028,275223.10902296
1750136400,2025-06-17 05:00:00,SOL/USD,153.078,153.915,152.886,153.626,492.05475,75592.40302350001
1750132800,2025-06-17 04:00:00,SOL/USD,153.559,153.678,152.503,153.151,1314.38743,201299.74929193
1750129200,2025-06-17 03:00:00,SOL/USD,153.304,154.009,152.603,153.361,1458.21238,223632.90880917996
1750125600,2025-06-17 02:00:00,SOL/USD,151.678,153.342,150.985,153.254,1090.83264,167174.46541056
1750122000,2025-06-17 01:00:00,SOL/USD,152.104,152.355,151.116,151.586,1281.92289,194321.56320354002
1750118400,2025-06-17 00:00:00,SOL/USD,150.759,152.009,147.852,152.009,9794.20306,1488807.0129475398
1750114800,2025-06-16 23:00:00,SOL/USD,152.929,154.225,150.412,150.762,7754.37286,1169064.76111932
1750111200,2025-06-16 22:00:00,SOL/USD,156.908,157.217,152.004,153.106,6538.68090,1001111.2778754
1750107600,2025-06-16 21:00:00,SOL/USD,157.356,157.591,156.438,156.685,2386.45876,373922.2908106
1750104000,2025-06-16 20:00:00,SOL/USD,157.740,157.911,156.866,157.356,3269.87547,514534.52445732
1750100400,2025-06-16 19:00:00,SOL/USD,158.219,158.782,157.261,157.837,3675.88265,580190.28982805
1750096800,2025-06-16 18:00:00,SOL/USD,157.154,158.225,157.040,158.223,3976.41809,629160.79945407
1750093200,2025-06-16 17:00:00,SOL/USD,157.506,158.124,157.046,157.161,4352.91722,684108.8232124201
1750089600,2025-06-16 16:00:00,SOL/USD,156.679,158.195,156.446,157.571,12901.37681,2032882.84532851
1750086000,2025-06-16 15:00:00,SOL/USD,156.522,157.566,156.222,156.643,18053.16632,2827902.13186376
1750082400,2025-06-16 14:00:00,SOL/USD,156.760,157.818,155.822,156.522,19863.41142,3109060.88228124
1750078800,2025-06-16 13:00:00,SOL/USD,155.298,156.748,154.709,156.639,6044.23490,946762.9105011001
1750075200,2025-06-16 12:00:00,SOL/USD,156.486,156.647,155.261,155.296,4292.92005,666673.3120847999
1750071600,2025-06-16 11:00:00,SOL/USD,156.088,156.868,154.836,156.555,5134.48660,803829.549663
1750068000,2025-06-16 10:00:00,SOL/USD,156.548,157.091,155.948,156.085,2660.22254,415220.83515590004
1750064400,2025-06-16 09:00:00,SOL/USD,156.824,156.890,156.039,156.503,2878.09973,450431.24204418994
1750060800,2025-06-16 08:00:00,SOL/USD,157.291,157.430,156.576,156.882,1763.55008,276669.26365056
1750057200,2025-06-16 07:00:00,SOL/USD,156.674,157.521,156.674,157.287,5943.34943,934811.60179641
1750053600,2025-06-16 06:00:00,SOL/USD,156.613,157.135,156.391,156.508,8049.13029,1259753.2834273202
1750050000,2025-06-16 05:00:00,SOL/USD,156.851,157.914,156.524,156.796,3041.16730,476842.86797079997
1750046400,2025-06-16 04:00:00,SOL/USD,155.629,157.187,155.521,156.826,2036.76277,319417.35816802
1750042800,2025-06-16 03:00:00,SOL/USD,155.731,156.261,155.573,155.638,1841.36528,286586.40944864
1750039200,2025-06-16 02:00:00,SOL/USD,156.488,157.330,155.520,155.727,5749.94193,895421.20693311
1750035600,2025-06-16 01:00:00,SOL/USD,152.021,156.612,151.026,156.612,7529.94225,1179279.315657
