unix,date,symbol,open,high,low,close,Volume VEXT,Volume USD
1747872000,2025-05-22 00:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747868400,2025-05-21 23:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,10400.620,32.241922
1747864800,2025-05-21 22:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747861200,2025-05-21 21:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747857600,2025-05-21 20:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747854000,2025-05-21 19:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747850400,2025-05-21 18:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747846800,2025-05-21 17:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747843200,2025-05-21 16:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747839600,2025-05-21 15:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747836000,2025-05-21 14:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747832400,2025-05-21 13:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747828800,2025-05-21 12:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747825200,2025-05-21 11:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747821600,2025-05-21 10:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747818000,2025-05-21 09:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747814400,2025-05-21 08:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747810800,2025-05-21 07:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747807200,2025-05-21 06:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747803600,2025-05-21 05:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747800000,2025-05-21 04:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747796400,2025-05-21 03:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747792800,2025-05-21 02:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747789200,2025-05-21 01:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747785600,2025-05-21 00:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747782000,2025-05-20 23:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747778400,2025-05-20 22:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747774800,2025-05-20 21:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747771200,2025-05-20 20:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747767600,2025-05-20 19:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747764000,2025-05-20 18:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747760400,2025-05-20 17:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747756800,2025-05-20 16:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747753200,2025-05-20 15:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747749600,2025-05-20 14:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747746000,2025-05-20 13:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747742400,2025-05-20 12:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747738800,2025-05-20 11:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747735200,2025-05-20 10:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747731600,2025-05-20 09:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747728000,2025-05-20 08:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747724400,2025-05-20 07:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747720800,2025-05-20 06:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747717200,2025-05-20 05:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747713600,2025-05-20 04:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
1747710000,2025-05-20 03:00:00,VEXT/USD,0.0031,0.0031,0.0031,0.0031,0.000,0.0
