unix,date,symbol,open,high,low,close,Volume XLM,Volume BTC
1750204800,2025-06-18 00:00:00,XLM/BTC,0.00000243,0.00000243,0.00000243,0.00000243,0.00000000,0.0
1750201200,2025-06-17 23:00:00,XLM/BTC,0.00000243,0.00000243,0.00000243,0.00000243,0.00000000,0.0
1750197600,2025-06-17 22:00:00,XLM/BTC,0.00000243,0.00000243,0.00000243,0.00000243,0.00000000,0.0
1750194000,2025-06-17 21:00:00,XLM/BTC,0.00000243,0.00000243,0.00000243,0.00000243,584.29131178,0.0014198278876254
1750190400,2025-06-17 20:00:00,XLM/BTC,0.00000243,0.00000243,0.00000243,0.00000243,707.63686009,0.0017195575700187
1750186800,2025-06-17 19:00:00,XLM/BTC,0.00000242,0.00000244,0.00000242,0.00000243,2980.19444653,0.0072418725050679
1750183200,2025-06-17 18:00:00,XLM/BTC,0.00000243,0.00000243,0.00000243,0.00000243,0.00000000,0.0
1750179600,2025-06-17 17:00:00,XLM/BTC,0.00000243,0.00000243,0.00000243,0.00000243,186.15530878,0.00045235740033540005
1750176000,2025-06-17 16:00:00,XLM/BTC,0.00000244,0.00000244,0.00000243,0.00000243,2623.38010272,0.0063748136496096005
1750172400,2025-06-17 15:00:00,XLM/BTC,0.00000244,0.00000244,0.00000243,0.00000244,2883.20680822,0.007035024612056799
1750168800,2025-06-17 14:00:00,XLM/BTC,0.00000245,0.00000245,0.00000245,0.00000245,1275.70267734,0.0031254715594829998
1750165200,2025-06-17 13:00:00,XLM/BTC,0.00000243,0.00000243,0.00000243,0.00000243,0.00000000,0.0
1750161600,2025-06-17 12:00:00,XLM/BTC,0.00000243,0.00000243,0.00000243,0.00000243,0.00000000,0.0
1750158000,2025-06-17 11:00:00,XLM/BTC,0.00000242,0.00000243,0.00000242,0.00000243,2299.88072024,0.005588710150183199
1750154400,2025-06-17 10:00:00,XLM/BTC,0.00000242,0.00000243,0.00000242,0.00000243,2725.49622154,0.0066229558183422
1750150800,2025-06-17 09:00:00,XLM/BTC,0.00000243,0.00000243,0.00000243,0.00000243,0.00000000,0.0
1750147200,2025-06-17 08:00:00,XLM/BTC,0.00000243,0.00000243,0.00000243,0.00000243,529.04938272,0.0012855900000096
1750143600,2025-06-17 07:00:00,XLM/BTC,0.00000244,0.00000244,0.00000244,0.00000244,466.36961170,0.001137941852548
1750140000,2025-06-17 06:00:00,XLM/BTC,0.00000244,0.00000244,0.00000244,0.00000244,615.22422159,0.0015011471006795998
1750136400,2025-06-17 05:00:00,XLM/BTC,0.00000244,0.00000244,0.00000244,0.00000244,329.12268704,0.0008030593563776
1750132800,2025-06-17 04:00:00,XLM/BTC,0.00000244,0.00000244,0.00000244,0.00000244,604.05077115,0.0014738838816059998
1750129200,2025-06-17 03:00:00,XLM/BTC,0.00000245,0.00000245,0.00000245,0.00000245,0.00000000,0.0
1750125600,2025-06-17 02:00:00,XLM/BTC,0.00000244,0.00000245,0.00000244,0.00000245,1094.09932188,0.0026805433386059997
1750122000,2025-06-17 01:00:00,XLM/BTC,0.00000245,0.00000245,0.00000245,0.00000245,1205.02522197,0.0029523117938265
1750118400,2025-06-17 00:00:00,XLM/BTC,0.00000245,0.00000245,0.00000243,0.00000243,4409.21677457,0.0107143967622051
1750114800,2025-06-16 23:00:00,XLM/BTC,0.00000245,0.00000245,0.00000245,0.00000245,811.33692354,0.001987775462673
1750111200,2025-06-16 22:00:00,XLM/BTC,0.00000246,0.00000247,0.00000246,0.00000247,1231.55774536,0.0030419476310391998
1750107600,2025-06-16 21:00:00,XLM/BTC,0.00000247,0.00000247,0.00000247,0.00000247,1224.60154484,0.0030247658157548
1750104000,2025-06-16 20:00:00,XLM/BTC,0.00000248,0.00000248,0.00000248,0.00000248,0.00000000,0.0
1750100400,2025-06-16 19:00:00,XLM/BTC,0.00000248,0.00000248,0.00000248,0.00000248,182.26558511,0.00045201865107279994
1750096800,2025-06-16 18:00:00,XLM/BTC,0.00000248,0.00000248,0.00000248,0.00000248,0.00000000,0.0
1750093200,2025-06-16 17:00:00,XLM/BTC,0.00000248,0.00000248,0.00000248,0.00000248,542.67763094,0.0013458405247312
1750089600,2025-06-16 16:00:00,XLM/BTC,0.00000248,0.00000251,0.00000248,0.00000248,2297.26231524,0.0056972105417952
1750086000,2025-06-16 15:00:00,XLM/BTC,0.00000248,0.00000255,0.00000248,0.00000248,5143.82399352,0.012756683503929599
1750082400,2025-06-16 14:00:00,XLM/BTC,0.00000247,0.00000248,0.00000247,0.00000247,1394.24834476,0.0034437934115572003
1750078800,2025-06-16 13:00:00,XLM/BTC,0.00000248,0.00000248,0.00000247,0.00000247,1484.53159980,0.003666793051506
1750075200,2025-06-16 12:00:00,XLM/BTC,0.00000247,0.00000248,0.00000247,0.00000247,3518.86793941,0.0086916038103427
1750071600,2025-06-16 11:00:00,XLM/BTC,0.00000245,0.00000249,0.00000245,0.00000245,726.19998640,0.0017791899666799998
1750068000,2025-06-16 10:00:00,XLM/BTC,0.00000244,0.00000244,0.00000244,0.00000244,0.00000000,0.0
1750064400,2025-06-16 09:00:00,XLM/BTC,0.00000244,0.00000244,0.00000244,0.00000244,712.21076677,0.0017377942709188
1750060800,2025-06-16 08:00:00,XLM/BTC,0.00000245,0.00000245,0.00000245,0.00000245,0.00000000,0.0
1750057200,2025-06-16 07:00:00,XLM/BTC,0.00000245,0.00000245,0.00000245,0.00000245,573.81180795,0.0014058389294775
1750053600,2025-06-16 06:00:00,XLM/BTC,0.00000246,0.00000246,0.00000246,0.00000246,0.00000000,0.0
