unix,date,symbol,open,high,low,close,Volume XRP,Volume RLUSD
1750204800,2025-06-18 00:00:00,XRP/RLUSD,2.16496,2.16496,2.16496,2.16496,1154.75,2499.98756
1750201200,2025-06-17 23:00:00,XRP/RLUSD,2.16076,2.16268,2.16076,2.16268,70376.13,152201.0488284
1750197600,2025-06-17 22:00:00,XRP/RLUSD,2.15376,2.15776,2.15376,2.15776,17802.42,38413.3497792
1750194000,2025-06-17 21:00:00,XRP/RLUSD,2.17273,2.17273,2.17259,2.17259,11530.69,25051.4617871
1750190400,2025-06-17 20:00:00,XRP/RLUSD,2.17588,2.17588,2.17588,2.17588,8.55,18.603774
1750186800,2025-06-17 19:00:00,XRP/RLUSD,2.17739,2.20223,2.17739,2.18920,4984.83,10912.789836
1750183200,2025-06-17 18:00:00,XRP/RLUSD,2.15149,2.16296,2.15149,2.16296,32444.72,70176.6315712
1750179600,2025-06-17 17:00:00,XRP/RLUSD,2.15222,2.16614,2.14733,2.15544,16773.02,36153.2382288
1750176000,2025-06-17 16:00:00,XRP/RLUSD,2.18201,2.18201,2.15084,2.15084,14833.79,31905.1088836
1750172400,2025-06-17 15:00:00,XRP/RLUSD,2.19370,2.19370,2.16553,2.17868,38272.98,83384.57606640001
1750168800,2025-06-17 14:00:00,XRP/RLUSD,2.21786,2.21786,2.21786,2.21786,0.00,0.0
1750165200,2025-06-17 13:00:00,XRP/RLUSD,2.21770,2.21786,2.21770,2.21786,3381.72,7500.1815191999995
1750161600,2025-06-17 12:00:00,XRP/RLUSD,2.21553,2.21553,2.21553,2.21553,11256.20,24938.448786000004
1750158000,2025-06-17 11:00:00,XRP/RLUSD,2.20360,2.20360,2.19106,2.19106,22920.27,50219.68678619999
1750154400,2025-06-17 10:00:00,XRP/RLUSD,2.21002,2.21465,2.20708,2.21196,22937.65,50737.164294
1750150800,2025-06-17 09:00:00,XRP/RLUSD,2.22192,2.22192,2.21508,2.21508,61.45,136.116666
1750147200,2025-06-17 08:00:00,XRP/RLUSD,2.23033,2.23155,2.23033,2.23155,17.00,37.93635
1750143600,2025-06-17 07:00:00,XRP/RLUSD,2.23698,2.23698,2.23698,2.23698,8.48,18.9695904
1750140000,2025-06-17 06:00:00,XRP/RLUSD,2.24566,2.24566,2.24566,2.24566,8.48,19.0431968
1750136400,2025-06-17 05:00:00,XRP/RLUSD,2.24528,2.25173,2.24528,2.25173,104.55,235.41837149999998
1750132800,2025-06-17 04:00:00,XRP/RLUSD,2.23968,2.23968,2.23968,2.23968,8.52,19.082073599999998
1750129200,2025-06-17 03:00:00,XRP/RLUSD,2.25025,2.25158,2.24972,2.25158,25.60,57.640448000000006
1750125600,2025-06-17 02:00:00,XRP/RLUSD,2.23337,2.23617,2.23337,2.23617,17.22,38.5068474
1750122000,2025-06-17 01:00:00,XRP/RLUSD,2.25288,2.25288,2.24638,2.25169,208.50,469.477365
1750118400,2025-06-17 00:00:00,XRP/RLUSD,2.21225,2.22751,2.21225,2.22751,1154.27,2571.1479677
1750114800,2025-06-16 23:00:00,XRP/RLUSD,2.28197,2.28197,2.27234,2.27234,69.08,156.97324719999997
1750111200,2025-06-16 22:00:00,XRP/RLUSD,2.30947,2.30947,2.27711,2.27711,2088.35,4755.4026685
1750107600,2025-06-16 21:00:00,XRP/RLUSD,2.31254,2.31254,2.29531,2.29531,3145.89,7220.7927759
1750104000,2025-06-16 20:00:00,XRP/RLUSD,2.32482,2.32482,2.31629,2.31629,872.67,2021.3567942999998
1750100400,2025-06-16 19:00:00,XRP/RLUSD,2.32040,2.33542,2.32040,2.33542,1423.88,3325.3578296000005
1750096800,2025-06-16 18:00:00,XRP/RLUSD,2.31449,2.31449,2.31449,2.31449,8.52,19.7194548
1750093200,2025-06-16 17:00:00,XRP/RLUSD,2.31948,2.32035,2.31319,2.31319,2954.76,6834.9212844
1750089600,2025-06-16 16:00:00,XRP/RLUSD,2.30074,2.31308,2.30074,2.31308,25.72,59.49241759999999
1750086000,2025-06-16 15:00:00,XRP/RLUSD,2.28542,2.29695,2.28418,2.29695,3098.30,7116.640185
